gene1,gene2,statistic,pvalue
ADAM28,DOCK2,0.9201399465324182,8.371332819349634e-06
ADAM28,DOCK8,0.8857321967292797,5.610591411225352e-05
ADAM28,EVI2B,0.963165881002222,1.2904877547414245e-07
ADAM28,FCRLA,0.8599775877351444,0.0001629763779197
ADAM28,GPR34,0.8806629611532542,7.051843208579224e-05
ADAM28,HCG22,0.8573554781423046,0.0001795348046152
ADAM28,IGSF6,0.9188668713294664,9.109315233952584e-06
ADAM28,ITGAM,0.8762246007718691,8.544326765140171e-05
ADAM28,ITGB2,0.8610531459444573,0.0001565473464823
ADAM28,LILRA1,0.8721886687144108,0.000101114596193
ADAM28,LINC00323,0.8974729412307577,3.1635105310113526e-05
ADAM28,LINC01736,0.862385883317726,0.0001488634087451
ADAM28,LPCAT2,0.9112758111868012,1.4677017150662093e-05
ADAM28,LST1,0.8749767245067236,9.006482106384064e-05
ADAM28,LY86,0.9197730887058851,8.578853239806074e-06
ADAM28,MPEG1,0.8586628246922903,0.0001711193664531
ADAM28,NCKAP1L,0.8521359627033391,0.0002164806576443
ADAM28,NSUN7,0.8583712974083698,0.0001729681136872
ADAM28,OLR1,0.9479085374505584,8.428642568705535e-07
ADAM28,P2RY13,0.9301843641772808,4.076368985270556e-06
ADAM28,PARP15,0.8846431772010152,5.898252222796495e-05
ADAM28,PIK3R5,0.8828828950420581,6.388126280443767e-05
ADAM28,PLD4,0.8584573330388279,0.0001724208628125
ADAM28,PTGS1,0.873855965968309,9.438405570530128e-05
ADAM28,RASAL3,0.8655070783395014,0.0001320417991154
ADAM28,SELPLG,0.8530113577419596,0.0002098954536532
ADAM28,SMIM35,0.8871544729742462,5.251954307243656e-05
ADAM28,SUSD3,0.8561702306580455,0.0001874463036139
ADAM28,TLR1,0.929459577773699,4.30850901342892e-06
ADAM28,TLR6,0.9017981303416636,2.517306834232569e-05
ADAM28,TREM2,0.9298263734296708,4.189729738004093e-06
ADAM28,TREML1,0.8953463859242402,3.52674839974123e-05
ADAM28,WDFY4,0.8914859870369494,4.2713956525453214e-05
ADAM28,ZNF300,0.8828413243121126,6.400076856277597e-05
ADORA3,APBB1IP,0.927017033886952,5.170814431643456e-06
ADORA3,BIN2,0.8965671715798345,3.3143541398095034e-05
ADORA3,C1QC,0.909139306433914,1.665885040001269e-05
ADORA3,C3,0.895296728454527,3.5356137292305635e-05
ADORA3,C3AR1,0.926772910088562,5.264143373357146e-06
ADORA3,CD37,0.9047447912539972,2.141392062985701e-05
ADORA3,CD53,0.9511886804974342,5.931583186033589e-07
